Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Overhead,Jitting,1,335766,1,335766
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Workload,Jitting,1,419994,1,419994
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Overhead,Jitting,2,530176,16,33136
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Workload,Jitting,2,1011480,16,63217.5
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Workload,Pilot,1,194344,16,12146.5
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Workload,Pilot,2,369465,32,11545.78
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Workload,Pilot,3,600035,64,9375.55
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Workload,Pilot,4,1125743,128,8794.87
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Workload,Pilot,5,2962447,256,11572.06
Lists.Insert,Algorithms.Benchmarker.ListDataStructures,Lists,Insert,Job-IMCEUH,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Job-IMCEUH(IterationCount=3),ListType=LinkedList&N=100,1,Workload,Pilot,6,5209009,512,10173.85
